,Country,Year,pop,Region,co2_mtco2,coalcons_mtoe,coalprod_mtoe,gascons_mtoe,gasprod_mtoe,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_mtoe,oilprod_mt,primary_gj_pc,primary_mtoe,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh,$ money of the day,$ 2018
0,Total Africa,1965,322.049333,,200.6003406,28.854720699999998,,0.820615159,,3.230937588,14.27880557,0.0,0.0,28.22439052,106.19956090000002,7.9472875,61.13066396,0.0,0.0,0.0,0.0,0.0,0.0,1.8,14.310085716
1,Total Africa,1966,330.28333399999997,,207.6041804,28.49191861,,0.917447653,,3.540989487,15.64904894,0.0,0.0,30.88075254,135.1527874,8.091479547,63.83110829,0.0,0.0,0.0,0.0,0.0,0.0,1.8,13.921372080000001
2,Total Africa,1967,338.79388,,208.51414,29.320762800000004,,0.9067643679999999,,3.6562277589999996,16.15833296,0.0,0.0,30.64200212,148.6790232,7.974064927000001,64.52575704,0.0,0.0,0.0,0.0,0.0,0.0,1.8,13.528138517999999
3,Total Africa,1968,347.57894,,218.3978352,30.55837123,,0.919085967,,4.213916542,18.62298276,0.0,0.0,32.3309723,190.5525321,8.193705821,68.02234604,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.985747398
4,Total Africa,1969,356.6335,,220.17729300000002,30.73896918,,1.0741186409999999,,4.883671272,21.58289682,0.0,0.0,32.77549415,242.3296986,8.15589197,69.47225325,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.321318276
5,Total Africa,1970,365.95993500000003,,234.6624935,31.63869499,,1.334507739,2.594338994,6.126688467999999,27.07628702,0.0,0.0,36.21030651,292.3154952,8.615935943,75.31019771,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11.634289523999998
6,Total Africa,1971,375.558625,,254.1904148,33.42367229,,1.5825678159999998,3.18339656,5.846179414,25.836605300000002,0.0,0.0,40.91217697,273.5193264,9.119411942000001,81.80170559,0.03710911,0.16399999999999998,0.0,0.0,0.0,0.0,2.24,13.870748908800001
7,Total Africa,1972,385.449492,,266.6784486,33.74304069,,2.121294663,5.6005886689999995,6.751341452999999,29.83687842,0.0,0.0,44.32541577,274.6494807,9.447704297000001,86.97842796,0.037335385,0.165,0.0,0.0,0.0,0.0,2.48,14.8898415576
8,Total Africa,1973,395.67801000000003,,286.80168310000005,35.67507166,,3.4008419119999997,8.454183372000001,6.743843497,29.80374195,0.0,0.0,47.65954388,287.7834503,9.895424561,93.51776771,0.03846676,0.17,0.0,0.0,0.0,0.0,3.29,18.5964570953
9,Total Africa,1974,406.30278300000003,,298.63186310000003,37.15665086,,3.8279008930000002,8.82244167,7.939807551,35.08918549,0.0,0.0,49.26881062,265.3110287,10.12252366,98.23276806,0.039598135,0.175,0.0,0.0,0.0,0.0,11.58,58.99964872739999
